PLC number;1;;;;;;;;;;;;;
Modbus Adr;1;;;;;;;;;;;;;
DB Block;10;;;;;;;;;;;;;
Offset DB Channel;1024;;;;;;;;;;;;;
Address;Name;Channel type;No of bits;Type;Initial value;Value;Comment;Channel name;Channel reference;;;Channel type: ;DI;digital input
+8.5;DozareIN_6;DI;1;BOOL;FALSE;;;;;;;;;
+8.6;DozareIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+8.7;DozareIN_8;DI;1;BOOL;FALSE;;;;;;;;;
+9.0;DozareIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+9.1;DozareIN_10;DI;1;BOOL;FALSE;;;;;;;;;
+9.2;DozareIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+9.3;DozareIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+9.4;DozareIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+9.5;DozareIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+9.6;DozareIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+9.7;DozareIN_16;DI;1;BOOL;FALSE;;;;;;;;;
+10.0;CapacIN_1;DI;1;BOOL;FALSE;;;;;;;;;
+10.1;CapacIN_2;DI;1;BOOL;FALSE;;;;;;;;;
+10.2;CapacIN_3;DI;1;BOOL;FALSE;;;;;;;;;
+10.3;CapacIN_4;DI;1;BOOL;FALSE;;;;;;;;;
+10.4;CapacIN_5;DI;1;BOOL;FALSE;;;;;;;;;
+10.5;CapacIN_6;DI;1;BOOL;FALSE;;;;;;;;;
+10.6;CapacIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+10.7;CapacIN_8;DI;1;BOOL;FALSE;;;;;;;;;
+11.0;CapacIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+11.1;CapacIN_10;DI;1;BOOL;FALSE;;;;;;;;;
+11.2;CapacIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+11.3;CapacIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+11.4;CapacIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+11.5;CapacIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+11.6;CapacIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+11.7;CapacIN_16;DI;1;BOOL;FALSE;;;;;;;;;
+12.0;SertizareIN_1;DI;1;BOOL;FALSE;;;;;;;;;
+12.1;SertizareIN_2;DI;1;BOOL;FALSE;;;;;;;;;
+12.2;SertizareIN_3;DI;1;BOOL;FALSE;;;;;;;;;
+12.3;SertizareIN_4;DI;1;BOOL;FALSE;;;;;;;;;
+12.4;SertizareIN_5;DI;1;BOOL;FALSE;;;;;;;;;
+12.5;SertizareIN_6;DI;1;BOOL;FALSE;;;;;;;;;
+12.6;SertizareIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+12.7;SertizareIN_8;DI;1;BOOL;FALSE;;;;;;;;;
+13.0;SertizareIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+13.1;SertizareIN_10;DI;1;BOOL;FALSE;;;;;;;;;
+13.2;SertizareIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+13.3;SertizareIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+13.4;SertizareIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+13.5;SertizareIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+13.6;SertizareIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+13.7;SertizareIN_16;DI;1;BOOL;FALSE;;;;;;;;;
+14.0;MixareIN_1;DI;1;BOOL;FALSE;;;;;;;;;
+14.1;MixareIN_2;DI;1;BOOL;FALSE;;;;;;;;;
+14.2;MixareIN_3;DI;1;BOOL;FALSE;;;;;;;;;
